Type of Glass,State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,Dist._of_Columbia,SGS Type,Fuel,"HVAC Type, Office",Building Type,Occ,Infil,Cooling,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19
,Idaho,,Emmonak,Tucson,Siloam Spring,Crescent City,Greeley,,,Melbourne,Warner Robins,,Twin Falls,Rock Falls,,Decorah,Manhattan,,Shreveport,Sanford,,Provincetown,Howell,Detroit Lakes,,St. Louis,Miles City,Imperial  NE,,,,Santa Fe,Rockester,Manteo,,,Tulsa,Portland OR,Pittsburgh,,,,,El Paso,,,Manassas,Port Angeles,,Mosinee,Workland,,,,Central Ducted VAV,,,,,,,,,,,,,,,,,,,,,,,,
,Illinois,,Fairbanks,Winslow,Springdale,Daggett,Gunnison,,,Miami,,,,Rockford,,Denison,Newton KS,,,Waterville,,Westfield,Ironwood,Duluth,,Vichy,Missoula,Kearney,,,,Taos,Ronkonkoma,New Bern,,,,Redmond,Reading,,,,,Galveston,,,Marion VA,Pullman,,Oshkosh,,,,,Fan Coil Unit,,,,,,,,,,,,,,,,,,,,,,,,
,Indiana,,Gustavus,Yuma,Stuttgart,Fairfield CA,Gypsum,,,Milton,,,,Springfield IL,,Des Moines,Olathe,,,Wiscasset,,Worchester,Jackson MI,Ely,,Warrensburg,Sidney MT,Lincoln,,,,Truth or Consequences,Saranac Lake,Raleigh,,,,Roseburg,Scranton,,,,,Georgetown,,,Martinsville,Renton,,Phillips,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,
,Iowa,,Healy,,Texarkana,Fresno,Hayden,,,Naples,,,,West Chicago,,Dubuque,Russell,,,,,,Kalamazoo,Eveleth,,,Wolf Point,McCook,,,,Tucumcari,Syracuse,Rocky Mount,,,,Salem,University Park,,,,,Greenville TX,,,Melfa,Seattle,,Rhinelander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kansas,,Homer,,Walnut Ridge,Fullerton,La Junta,,,Ocala,,,,,,Estherville,Salina,,,,,,Kincheloe,Fairmont,,,,Norfolk NE,,,,,Utica,Southern Pines,,,,Sexton Summit,Washington PA,,,,,Harlingen,,,Newport News,Spokane,,Rice Lake,,,,,Packaged VAV with electric reheat,PVAV_Elec,,,,,,,,,,,,,,,,,,,,,,,
,Kentucky,,Hoonah,,,Hawthorne,Lakewood,,,Orlando,,,,,,Fairfield IA,Topeka,,,,,,Kingsford,Faribault,,,,North Platte,,,,,Wappingers Falls,Wilmington NC,,,,,Williamsport,,,,,Hondo,,,Norfolk VA,Stampede Pass,,Sturgeon Bay,,,,,Packaged VAV with hydronic reheat ,PVAV,,,,,,,,,,,,,,,,,,,,,,,
,Louisiana,,Hooper Bay,,,Hayward,Lamar,,,Panama City,,,,,,Fort Dodge,Wichita,,,,,,Lansing,Fergus Falls,,,,Omaha,,,,,Watertown NY,Winston-Salem,,,,,,,,,,Houston,,,Petersburg VA,Tacoma,,Watertown WI,,,,,Built-up VAV with hydronic reheat ,VAV,,,,,,,,,,,,,,,,,,,,,,,
,Maine,,Huslia,,,Imperial CA,Leadville,,,Pensacola,,,,,,Fort Madison,,,,,,,Manistee,Flying Cloud,,,,O'Neill,,,,,Westhampton Beach,,,,,,,,,,,Killeen,,,Pulaski,The Dalles,,Wausau,,,,,Central Ducted VAV,VAV,,,,,,,,,,,,,,,,,,,,,,,
,Maryland,,Iliamna,,,Lancaster CA,Limon,,,Sarasota,,,,,,Keokuk,,,,,,,Marie,Fosston,,,,Ord,,,,,White Plains,,,,,,,,,,,Kingsville,,,Quantico,Toledo WA,,,,,,,PTAC,PTAC,,,,,,,,,,,,,,,,,,,,,,,
,Massachusetts,,Juneau,,,Lemoore,Montrose,,,St. Petersburg,,,,,,Knoxville IA,,,,,,,Menominee,Glenwood,,,,Scottsbluff,,,,,,,,,,,,,,,,Laredo,,,Richmond,Walla Walla,,,,,,,PTHP,PTHP,,,,,,,,,,,,,,,,,,,,,,,
,Michigan,,Kake,,,Livermore,Pueblo,,,Tallahasse,,,,,,Le Mars,,,,,,,Mount Clemens,Grand Rapids MN,,,,Sidney NE,,,,,,,,,,,,,,,,Longview,,,Roanoke,Wenatchee,,,,,,,=BD10,FCU,,,,,,,,,,,,,,,,,,,,,,,
,Minnesota,,Kenai,,,Lompoc,Rifle,,,Tampa,,,,,,Mason City,,,,,,,Muskegon,Hallock,,,,Tekamah,,,,,,,,,,,,,,,,Lubbock,,,Virginia Beach,Whidbey Island ,,,,,,,=BD11,FCU,,,,,,,,,,,,,,,,,,,,,,,
,Mississippi,,Ketchikan,,,Long Beach,Trinidad,,,Vero Beach,,,,,,Monticello IA,,,,,,,Oscoda,Hibbing,,,,Valentine,,,,,,,,,,,,,,,,Lufkin,,,Weyers Cave,Yakima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Missouri,,King Salmon,,,Los Angeles,,,,West Palm Beach,,,,,,Muscatine,,,,,,,Pellston,Hutchinson,,,,,,,,,,,,,,,,,,,,Marfa,,,Winchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Montana,,Kodiak,,,McKinleyville,,,,,,,,,,Newton IA,,,,,,,Port Huron,International Falls,,,,,,,,,,,,,,,,,,,,McAllen,,,Wise,,,,,,,,"HVAC Type, Hospital",,,,,,,,,,,,,,,,,,,,,,,,
,Nebraska,,Mekoryuk,,,Merced,,,,,,,,,,Oelwen,,,,,,,Traverse City,Litchfield,,,,,,,,,,,,,,,,,,,,McGregor,,,,,,,,,,,Central Ducted VAV,VAV,,,,,,,,,,,,,,,,,,,,,,,
,Nevada,,Middleton Island,,,Modesto,,,,,,,,,,Orange City,,,,,,,Waterford Township,Little Falls,,,,,,,,,,,,,,,,,,,,Midland,,,,,,,,,,,Other,VAV,,,,,,,,,,,,,,,,,,,,,,,
,New_Hampshire,,Palmer,,,Montague,,,,,,,,,,Ottumwa,,,,,,,,Mankato,,,,,,,,,,,,,,,,,,,,Mineral wells,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
,New_Jersey,,Petersburg AK,,,Monterey,,,,,,,,,,Red Oak,,,,,,,,Marshall,,,,,,,,,,,,,,,,,,,,Nacogdockes,,,,,,,,,,,"HVAC Type, Mid-rise Multi-family",,,,,,,,,,,,,,,,,,,,,,,,
,New_Mexico,,Point Heiden,,,Napa,,,,,,,,,,Sheldon,,,,,,,,Minneapolis,,,,,,,,,,,,,,,,,,,,Palacios,,,,,,,,,,,Fan Coil Unit,,,,,,,,,,,,,,,,,,,,,,,,
,New_York,,Saint Mary's,,,Needles,,,,,,,,,,Shenandoah,,,,,,,,Mora,,,,,,,,,,,,,,,,,,,,Paris,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,
,North_Carolina,,Sand Point,,,Oakland,,,,,,,,,,Sioux City,,,,,,,,Morris,,,,,,,,,,,,,,,,,,,,Port Arthur,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
,North_Dakota,,Seward,,,Oxnard,,,,,,,,,,Spencer,,,,,,,,New Ulm,,,,,,,,,,,,,,,,,,,,Rockport,,,,,,,,,,,"HVAC Type, Low-rise Multi-family",,,,,,,,,,,,,,,,,,,,,,,,
,Ohio,,Sitka Japonski,,,Palm Springs,,,,,,,,,,Storm Lake,,,,,,,,Orr,,,,,,,,,,,,,,,,,,,,San Angelo,,,,,,,,,,,PTAC,,,,,,,,,,,,,,,,,,,,,,,,
,Oklahoma,,Skagway,,,Palmdale,,,,,,,,,,Washington IA,,,,,,,,Owatonna,,,,,,,,,,,,,,,,,,,,San Antonio,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,
,Oregon,,Soldotna,,,Paso Robles,,,,,,,,,,Waterloo,,,,,,,,Park Rapids,,,,,,,,,,,,,,,,,,,,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pennsylvania,,St. Paul,,,Porterville,,,,,,,,,,Webster City,,,,,,,,Pipestone,,,,,,,,,,,,,,,,,,,,Tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhode_Island,,Talkeetna,,,Red Bluff,,,,,,,,,,,,,,,,,,Red Wing,,,,,,,,,,,,,,,,,,,,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South_Carolina,,Togiac,,,Redding,,,,,,,,,,,,,,,,,,Redwood Falls,,,,,,,,,,,,,,,,,,,,Waco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South_Dakota,,Utqiagvik,,,Ridgecrest,,,,,,,,,,,,,,,,,,Rochester,,,,,,,,,,,,,,,,,,,,Wichita Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tennessee,,Valdez ,,,Riverside,,,,,,,,,,,,,,,,,,Roseau,,,,,,,,,,,,,,,,,,,,Wink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas,,Whittier,,,Sacremento,,,,,,,,,,,,,,,,,,Silver Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Utah,,Wrangell,,,Salinas,,,,,,,,,,,,,,,,,,St Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vermont,,Yakutat ,,,San Diego,,,,,,,,,,,,,,,,,,St Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virginia,,,,,San Francisco,,,,,,,,,,,,,,,,,,Thief River Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Washington,,,,,San Jose,,,,,,,,,,,,,,,,,,Two Harbors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West_Virginia,,,,,San Luis Obispo,,,,,,,,,,,,,,,,,,Wheaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wisconsin,,,,,Sandberg,,,,,,,,,,,,,,,,,,Willmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wyoming,,,,,Santa Anna,,,,,,,,,,,,,,,,,,Winona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Santa Barbara,,,,,,,,,,,,,,,,,,Worthington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Santa Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Santa Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Santa Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,South Lake Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Stockton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Truckee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Twentynine Palms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ukiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Van Nuys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Visalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Yuba City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
